ds,yhat,yhat_lower,yhat_upper
2015-01-31,40098.69543838737,33943.71281364897,45818.66714816597
2015-02-28,31571.065377906423,25461.371743422216,37605.839863012116
2015-03-31,34323.01642822836,28229.289521453185,40216.207214984
2015-04-30,30297.283510638757,24214.895875098333,36810.65218034294
2015-05-31,33534.52544850097,27523.307574642724,40062.53724036094
2015-06-30,32101.25049927035,25973.21960828362,38605.44829920313
2015-07-31,32395.802060617953,26086.469094976397,38106.21482330849
2015-08-31,29256.093155744533,23209.21864691409,35549.715356372646
2015-09-30,27213.639051560822,20829.725238898245,33538.33167962428
2015-10-31,29312.261127975868,23147.848356139333,35735.58551186258
2015-11-30,27817.664876474442,21695.9933558351,34077.17187666277
2015-12-31,29347.239701967384,23016.5520908832,35478.659390107554
2016-01-31,37045.44081481058,30615.193781938862,43493.04928309358
2016-02-29,31217.956758213557,25221.002082880765,36814.5796251925
2016-03-31,26721.839760406976,20345.809550781527,32872.54401509527
2016-04-30,31044.55573101894,24641.314697843707,37228.24943288253
2016-05-31,27147.31959229329,20998.960460681214,33036.04517966911
2016-06-30,23026.71286808633,17198.605047446898,29177.650344211957
2016-07-31,24754.4996030142,18333.480630028997,30890.07269092816
2016-08-31,24504.502097543886,18554.822203863052,30527.200463716283
2016-09-30,24047.82629579797,17820.523383003103,29927.224064527636
2016-10-31,25854.881442636557,19939.469221210118,31978.1053945334
2016-11-30,23070.736588517248,17278.427878593946,29136.474177794404
2016-12-31,23704.454595361593,17280.14008000278,29908.738902881465
2017-01-31,24743.117570095605,18373.772105183787,30613.42591514532
2017-02-28,24242.195693917547,18243.631852837447,30634.80014521043
2017-03-31,22180.17850683346,16132.98646416374,28322.88105058385
2017-04-30,23731.77270964762,17623.21210874855,29882.4508439916
2017-05-31,22205.356088170294,16682.026578153713,28215.325235222714
2017-06-30,19050.89830641827,12896.96023635325,24991.470787476945
2017-07-31,20437.05169228715,14209.639614853018,26656.797195406652
2017-08-31,19328.09568806608,13164.443433979652,25326.157457299134
2017-09-30,18416.380657585603,12276.130675164322,24372.767848452062
2017-10-31,20397.64838801824,14570.529796470659,26346.64871239562
2017-11-30,18189.97299181946,12112.355524373272,24385.157886667184
2017-12-31,19280.3762976814,13120.991135899958,25596.194674023685
2018-01-31,22761.59076036442,16069.438439905627,28783.560366771228
2018-02-28,18406.25623270987,12196.318934725488,24643.596502766453
2018-03-31,18977.711855012374,13172.514920311423,25086.596041353067
2018-04-30,17955.876606525304,11743.241549066212,23991.416368000464
2018-05-31,19025.44875536508,12759.239904053324,25502.706378093648
2018-06-30,16977.38293586638,10900.977464317219,23316.20739008605
2018-07-31,18038.445015858695,11872.971431541808,24590.682443068985
2018-08-31,16185.07693999984,9794.086910449922,22206.385184166422
2018-09-30,14956.66668535895,8705.589106561116,21202.66818633535
2018-10-31,17254.45323598646,11180.228917436232,23229.785482198447
2018-11-30,15618.655063693544,9658.62175759827,21546.410119733257
2018-12-31,17207.999536176267,11152.992488042344,22768.61563663856
2019-01-31,23109.60013126107,16845.460783660583,29381.47021114344
2019-02-28,14916.767367993954,9133.849093067385,20989.086166789537
2019-03-31,18039.386854539083,11919.261212999529,24005.93845058165
2019-04-30,14384.953818015807,8129.9876907729185,20393.668189033047
2019-05-31,18005.872299610415,11714.423861256973,24205.358898209342
2019-06-30,16943.897231904008,10887.101106213757,23071.07451634039
2019-07-31,17622.125337504738,11288.332759938827,23483.92696653881
2019-08-31,14866.095749588258,8517.58219201821,20920.639001600663
2019-09-30,13194.94421016756,7389.5730577120985,19070.36294104408
2019-10-31,15677.24552039161,9568.161021482241,21503.02721983386
2019-11-30,14553.951753209318,8642.04061251715,20533.6701161676
2019-12-31,16467.205818475275,10309.32682911423,22493.612462082525
2020-01-31,24549.08617112131,18296.699223819258,30932.80892702587
2020-02-29,19080.527819809995,12979.31150404397,24712.40061076132
2020-03-31,14968.090024202578,8991.764436337358,21179.50262176842
2020-04-30,19662.10845139461,13670.338235669533,25692.518998403277
2020-05-31,16148.551517778329,10164.227943499727,22509.05680293705
2020-06-30,12399.24725011771,6757.464912720844,18691.892234426326
2020-07-31,14510.71292399637,8208.679204793181,21163.145306060433
2020-08-31,14644.394357472258,8349.778751061462,20412.682343965393
2020-09-30,14559.020755455978,8158.761364041156,20815.402193218863
2020-10-31,16749.7548420536,10688.962613914704,22897.691926903164
2020-11-30,14331.681807233044,7958.575485234561,20458.916571387104
2020-12-31,15343.67402736308,9396.572983435557,21638.841533358707
2021-01-31,16760.611257833618,10334.157374908236,22935.839810277877
2021-02-28,16601.35645132636,10553.393228479908,22442.738528839716
2021-03-31,14889.324853864906,8932.884835250394,21040.650541752042
2021-04-30,16779.614788614905,10498.909569066434,23021.759459321842
2021-05-31,15603.183753776908,9683.28750883285,22335.434048824693
2021-06-30,12787.42170104144,7065.569088987037,19418.692960407123
2021-07-31,14459.354419023193,8000.178395764146,20717.358831152374
2021-08-31,13636.177746956553,6843.801205588548,20402.35718973979
2021-09-30,13001.023361830757,7168.649895948642,19674.735462721976
2021-10-31,15268.07042577352,9208.253516728786,21414.479406746905
2021-11-30,13264.74120853315,7184.2303500787275,19331.435917385443
2021-12-31,14566.302232642003,8335.541901854536,20239.585159700862
2022-01-31,18258.67441501956,11606.841730986618,24667.6573530204
2022-02-28,14094.06298900387,7488.528426298494,20014.77704950477
2022-03-31,14798.452107870798,8662.904747798815,20916.63080625778
2022-04-30,13905.262178624213,7548.110453769542,20004.77248213809
2022-05-31,15107.767827984399,8973.22674281576,21158.94326527361
2022-06-30,13188.347331579113,7359.364086856263,19505.026907919793
2022-07-31,14382.34291207939,8162.4611589236365,21134.353916760567
2022-08-31,12595.446978130685,6845.091402512575,18762.35462243921
2022-09-30,11431.364602753823,5404.241515537106,17900.434115162614
2022-10-31,13795.62329461553,8182.007052047218,19377.424384692975
2022-11-30,12224.153000904997,5975.514582507621,18440.484066459867
2022-12-31,13826.508408842777,7483.752979196725,19574.726435510565
2023-01-31,19741.119939342527,13125.527589364989,25580.345280691454
2023-02-28,11560.038987393335,5923.091100014053,17791.660004453595
2023-03-31,14695.669407881276,9165.037982275428,20785.40753220678
2023-04-30,11041.239106580142,4468.883677545225,17240.436410721122
2023-05-31,14662.160414593594,8703.852568444681,20781.916427365108
2023-06-30,13600.188082247638,7349.770584487533,19470.09323035006
2023-07-31,14278.419014368232,8122.7226879431555,20632.279234887883
2023-08-31,11522.389480286418,5853.566415952314,17713.812493160774
2023-09-30,9851.237992954977,3506.0741687031873,16026.23169019978
2023-10-31,12333.539356749274,6361.121338099584,18082.458121364583
2023-11-30,11210.245641395648,5237.268095921876,16909.82948702116
2023-12-31,13123.499754245944,7182.884579924751,19428.393632277588
2024-01-31,21205.38015446109,15566.249362340184,27460.88257598514
2024-02-29,15736.821847677083,9776.86054981815,21912.544776606024
2024-03-31,11624.38409964243,5297.72799412401,18077.782443675856
2024-04-30,16318.402570060487,10201.369797008352,22509.924265255122
2024-05-31,12804.84568111394,6402.526913677141,18932.865875191706
2024-06-30,9055.541456706558,2671.0957295950006,15078.933181334709
2024-07-31,11167.007175246377,5473.986224055751,17506.251694065235
2024-08-31,11300.688653393714,5470.3231862056255,17711.558801027364
2024-09-30,11215.31509384776,4806.647790310903,17286.453447372343
2024-10-31,13406.049224311411,7402.59862738893,19524.165339871353
2024-11-30,10987.976231953886,4891.8291149967035,16877.425776452514
2024-12-31,11999.968495971938,6045.530497120435,18086.52282465649
2025-01-31,13416.905727866124,7310.504690907334,19567.012372622856
2025-02-28,13257.650922656414,7255.977715881562,18985.17815934556
2025-03-31,11545.619326652806,5519.564003350834,17745.673252716282
2025-04-30,13435.909262754058,7128.538174052629,19401.48761014291
2025-05-31,12259.478232351099,6102.193190447939,18304.52296434532
2025-06-30,9443.71618388324,2969.245880656426,15285.035131379082
2025-07-31,11115.648906314971,4757.059923531017,17164.886807414718
2025-08-31,10292.472238670847,4091.669664207646,16346.434767467408
2025-09-30,9657.317856467587,3470.4795794621004,15480.356690968263
2025-10-31,11924.36492347235,5762.527645721318,17982.31662999699
2025-11-30,9921.035709179298,3849.113197046844,15906.625249463747
2025-12-31,11222.596736331996,5114.065871233535,17387.361054610887
2026-01-31,14914.96892030904,9301.47555190264,21462.621307148034
2026-02-28,10750.357495782227,4587.020869367983,16594.018641193044
2026-03-31,11454.746616246439,5247.646093262272,17621.44484375483
2026-04-30,10561.556688582092,4569.614991406242,16673.246892851166
2026-05-31,11764.06233558053,5724.550315354665,18089.47352453515
2026-06-30,9844.641836878172,3805.7476384545253,15863.54482780858
2026-07-31,11038.637415046323,5403.304611312758,17579.104206198284
2026-08-31,9251.741478739177,2847.165761635452,15178.301125262853
2026-09-30,8087.659101089146,1847.6415715603198,14006.95119241638
2026-10-31,10451.917791278587,4267.751778961322,16622.966854499773
2026-11-30,8880.44749597842,2845.910062500098,14624.697131748704
2026-12-31,10482.802902246443,4534.694109154036,16103.381447459366
